agent_id,quarter_initial,income_initial,quintile_initial,skills_initial,oer_engaged_initial,signal_completed_initial,employment_initial,quarter_final,income_final,quintile_final,skills_final,oer_engaged_final,signal_completed_final,employment_final
5502,0,77264.72275990492,1,0.0,False,False,employed,40,114018.19424691089,3,0.0,False,False,employed
5503,0,287287.4567877457,3,0.0,False,False,employed,40,371484.6114555338,4,0.0,False,False,employed
5504,0,502491.0635032243,4,0.0,False,False,employed,40,149010.65032542343,3,0.0,False,False,employed
5505,0,82557.3242613722,1,0.0,False,False,employed,40,109659.93618550146,3,0.0,False,False,employed
5506,0,3932.92627737167,0,0.0,False,False,employed,40,5108.8473412290805,0,0.0,False,False,employed
5507,0,23486.606764786407,0,0.0,False,False,employed,40,90877.12889006516,2,0.0,False,False,employed
5508,0,161339.61183438724,2,0.0,False,False,employed,40,116874.07458822473,3,0.0,False,False,employed
5509,0,197560.76679158618,3,0.0,False,False,employed,40,832948.2969672199,4,0.0,False,False,employed
5510,0,300604.3475058614,3,0.0,False,False,employed,40,1895644.7852648005,4,0.0,False,False,employed
5511,0,293126.4196201269,4,0.0,False,False,employed,40,435766.658161558,4,0.0,False,False,employed
5512,0,16629.38923049216,0,0.0,False,False,employed,40,59324.286474714885,1,0.0,False,False,employed
5513,0,78156.9345554373,2,0.0,False,False,employed,40,55666.35707115517,1,0.0,False,False,employed
5514,0,6533.125520607922,0,0.0,False,False,employed,40,4018.517184351234,0,0.0,False,False,employed
5515,0,503442.57642763894,4,0.0,False,False,employed,40,735279.289499259,4,0.0,False,False,employed
5516,0,194041.40653611274,2,0.0,False,False,employed,40,974649.2619903656,4,0.0,False,False,employed
5517,0,295838.5194085479,4,0.0,False,False,employed,40,570152.61985467,4,0.0,False,False,employed
5518,0,227582.76837170837,3,0.0,False,False,employed,40,273173.60588689515,4,0.0,False,False,employed
5519,0,864344.6211242545,4,0.0,False,False,employed,40,1203611.402866679,4,0.0,False,False,employed
5520,0,181283.30068553798,2,0.0,False,False,employed,40,758690.62021454,4,0.0,False,False,employed
5521,0,96844.81951929901,1,0.0,True,False,employed,40,117103.4643154252,3,12.500620294732157,False,False,employed
5522,0,21990.613022317946,0,0.0,False,False,employed,40,35492.9618197409,1,0.0,False,False,employed
5523,0,175175.49931365196,2,0.0,False,False,employed,40,600576.9536626136,4,0.0,False,False,employed
5524,0,99081.35310287552,1,0.0,False,False,employed,40,538652.7018814911,4,0.0,False,False,employed
5525,0,172826.08861032123,3,0.0,False,False,employed,40,171917.72307416456,4,0.0,False,False,employed
5526,0,32982.14185290806,0,0.0,False,False,employed,40,65666.86768383809,2,0.0,False,False,employed
5527,0,82333.10682929322,2,0.0,False,False,employed,40,119028.38169107989,3,0.0,False,False,employed
5528,0,607882.270920025,4,0.0,False,False,employed,40,1773863.1629243044,4,0.0,False,False,employed
5529,0,510198.55435900623,4,0.0,False,False,employed,40,2787218.5294134123,4,0.0,False,False,employed
5530,0,6649.0882927480825,0,0.0,False,False,employed,40,8772.163200913097,0,0.0,False,False,employed
